11 #edges tree 0
6	0
6	7
0	9
0	11
11	2
7	3
7	10
3	4
4	5
1	6
10	8
11 #edges tree 1
1	0
1	7
0	9
0	11
6	1
11	2
7	3
7	10
3	4
4	5
10	8
11 #edges tree 2
1	0
1	7
0	2
0	9
0	11
6	1
7	3
7	10
3	4
4	5
10	8
11 #edges tree 3
6	0
6	7
0	2
0	9
0	11
7	3
7	10
3	4
4	5
1	6
10	8
11 #edges tree 4
6	0
6	7
0	2
0	11
7	3
7	10
3	4
4	5
1	6
10	8
10	9
11 #edges tree 5
1	0
1	7
0	2
0	11
6	1
7	3
7	10
3	4
4	5
10	8
10	9
11 #edges tree 6
1	0
1	7
0	2
0	11
6	1
7	3
7	10
3	4
4	5
10	8
11	9
11 #edges tree 7
6	0
6	7
0	2
0	11
7	3
7	10
3	4
4	5
1	6
10	8
11	9
11 #edges tree 8
6	0
6	7
0	9
0	11
11	2
7	3
7	5
7	10
3	4
1	6
10	8
11 #edges tree 9
1	0
1	7
0	9
0	11
6	1
11	2
7	3
7	5
7	10
3	4
10	8
11 #edges tree 10
6	0
6	7
0	11
11	2
7	3
7	10
3	4
4	5
1	6
10	8
10	9
11 #edges tree 11
1	0
1	7
0	11
6	1
11	2
7	3
7	10
3	4
4	5
10	8
10	9
11 #edges tree 12
6	0
6	2
6	7
0	9
0	11
7	3
7	10
3	4
4	5
1	6
10	8
11 #edges tree 13
1	0
1	2
1	7
0	9
0	11
6	1
7	3
7	10
3	4
4	5
10	8
11 #edges tree 14
6	0
6	7
0	2
0	9
0	11
7	3
7	5
7	10
3	4
1	6
10	8
11 #edges tree 15
1	0
1	7
0	2
0	9
0	11
6	1
7	3
7	5
7	10
3	4
10	8
11 #edges tree 16
1	0
1	7
0	2
0	11
6	1
7	3
7	5
7	10
3	4
10	8
11	9
11 #edges tree 17
6	0
6	7
0	2
0	11
7	3
7	5
7	10
3	4
1	6
10	8
11	9
11 #edges tree 18
6	0
6	7
0	2
0	9
7	3
7	10
7	11
3	4
4	5
1	6
10	8
11 #edges tree 19
1	0
1	7
0	2
0	9
6	1
7	3
7	10
7	11
3	4
4	5
10	8
11 #edges tree 20
6	0
6	7
0	2
0	11
7	3
7	5
7	10
3	4
1	6
10	8
10	9
11 #edges tree 21
1	0
1	7
0	2
0	11
6	1
7	3
7	5
7	10
3	4
10	8
10	9
11 #edges tree 22
1	0
1	7
0	9
0	11
6	1
3	2
3	4
7	3
7	10
4	5
10	8
11 #edges tree 23
6	0
6	7
0	9
0	11
3	2
3	4
7	3
7	10
4	5
1	6
10	8
11 #edges tree 24
1	0
1	7
0	2
0	5
0	9
6	1
7	3
7	10
7	11
3	4
10	8
11 #edges tree 25
6	0
6	7
0	2
0	5
0	9
7	3
7	10
7	11
3	4
1	6
10	8
11 #edges tree 26
6	0
6	7
0	9
0	11
7	2
7	3
7	10
3	4
4	5
1	6
10	8
11 #edges tree 27
1	0
1	7
0	9
0	11
6	1
7	2
7	3
7	10
3	4
4	5
10	8
11 #edges tree 28
6	0
6	7
0	11
11	2
7	3
7	5
7	10
3	4
1	6
10	8
10	9
11 #edges tree 29
1	0
1	7
0	11
6	1
11	2
7	3
7	5
7	10
3	4
10	8
10	9
11 #edges tree 30
1	0
1	7
0	5
0	11
6	1
11	2
7	3
7	10
3	4
10	8
10	9
11 #edges tree 31
6	0
6	7
0	5
0	11
11	2
7	3
7	10
3	4
1	6
10	8
10	9
11 #edges tree 32
1	0
1	2
1	7
0	11
6	1
7	3
7	10
3	4
4	5
10	8
10	9
11 #edges tree 33
6	0
6	2
6	7
0	11
7	3
7	10
3	4
4	5
1	6
10	8
10	9
11 #edges tree 34
6	0
6	2
6	7
0	11
7	3
7	10
3	4
4	5
1	6
10	8
11	9
11 #edges tree 35
1	0
1	2
1	7
0	11
6	1
7	3
7	10
3	4
4	5
10	8
11	9
11 #edges tree 36
6	0
6	7
0	5
0	9
0	11
11	2
7	3
7	10
3	4
1	6
10	8
11 #edges tree 37
1	0
1	7
0	5
0	9
0	11
6	1
11	2
7	3
7	10
3	4
10	8
11 #edges tree 38
6	0
6	7
0	9
0	11
3	2
3	4
7	3
7	5
7	10
1	6
10	8
11 #edges tree 39
1	0
1	7
0	9
0	11
6	1
3	2
3	4
7	3
7	5
7	10
10	8
11 #edges tree 40
1	0
1	7
0	2
0	11
6	1
7	3
7	10
3	4
4	5
11	8
10	9
11 #edges tree 41
6	0
6	7
0	2
0	11
7	3
7	10
3	4
4	5
1	6
11	8
10	9
11 #edges tree 42
1	0
1	7
0	11
6	1
3	2
3	4
7	3
7	10
4	5
10	8
10	9
11 #edges tree 43
6	0
6	7
0	11
3	2
3	4
7	3
7	10
4	5
1	6
10	8
10	9
11 #edges tree 44
1	0
1	7
0	8
0	11
6	1
11	2
7	3
7	10
3	4
4	5
10	9
11 #edges tree 45
6	0
6	7
0	8
0	11
11	2
7	3
7	10
3	4
4	5
1	6
10	9
11 #edges tree 46
6	0
6	7
0	11
11	2
11	9
7	3
7	10
3	4
4	5
1	6
10	8
11 #edges tree 47
1	0
1	7
0	11
6	1
11	2
11	9
7	3
7	10
3	4
4	5
10	8
11 #edges tree 48
1	0
1	2
1	7
0	9
0	11
6	1
7	3
7	5
7	10
3	4
10	8
11 #edges tree 49
6	0
6	2
6	7
0	9
0	11
7	3
7	5
7	10
3	4
1	6
10	8
11 #edges tree 50
1	0
1	7
0	2
0	8
6	1
7	3
7	10
7	11
3	4
4	5
10	9
11 #edges tree 51
6	0
6	7
0	2
0	8
7	3
7	10
7	11
3	4
4	5
1	6
10	9
11 #edges tree 52
1	0
1	7
0	11
6	1
3	2
3	4
7	3
7	10
4	5
10	8
11	9
11 #edges tree 53
6	0
6	7
0	11
3	2
3	4
7	3
7	10
4	5
1	6
10	8
11	9
11 #edges tree 54
1	0
1	7
0	2
0	5
6	1
7	3
7	10
7	11
3	4
10	8
10	9
11 #edges tree 55
6	0
6	7
0	2
0	5
7	3
7	10
7	11
3	4
1	6
10	8
10	9
11 #edges tree 56
1	0
1	7
0	9
0	11
6	1
11	2
7	3
7	4
7	10
4	5
10	8
11 #edges tree 57
6	0
6	7
0	9
0	11
11	2
7	3
7	4
7	10
4	5
1	6
10	8
11 #edges tree 58
6	0
6	7
0	2
7	3
7	10
7	11
3	4
4	5
1	6
10	8
